epoch,accuracy,loss,val_accuracy,val_loss
0,0.7730000019073486,0.6958388686180115,0.8224999904632568,0.42869919538497925
1,0.8525000214576721,0.39087939262390137,0.8087499737739563,0.47566330432891846
2,0.878000020980835,0.3332425355911255,0.8949999809265137,0.274686723947525
3,0.9020000100135803,0.2658613324165344,0.8737499713897705,0.390336811542511
4,0.9100000262260437,0.26074305176734924,0.8962500095367432,0.35211512446403503
5,0.9190000295639038,0.21065261960029602,0.9075000286102295,0.3280370235443115
6,0.9340000152587891,0.19998563826084137,0.9024999737739563,0.3493039309978485
7,0.934499979019165,0.19142648577690125,0.8987500071525574,0.45523929595947266
8,0.9505000114440918,0.1567283421754837,0.8962500095367432,0.4783129394054413
9,0.9455000162124634,0.16244152188301086,0.8987500071525574,0.43612778186798096
